sentences 	 labels
chad asks the imf for a loan to pay for looking after more than 100,000 refugees from conflict-torn darfur in western sudan .  	 2
the company running the japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks .  	 2
trevor baylis, the veteran inventor famous for creating the freeplay clockwork radio, is planning to float his company on the stock market .  	 2
saudi arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices .  	 2
a group led by the uae's etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in saudi arabia .  	 2
network rail flies in specialist indian engineers to work on the west coast mainline because of a uk skills shortage .  	 2
bedford -- scientists at nitromed inc. hope their experimental drugs will cure heart disease someday. but lately their focus has been on more mundane matters .  	 2
i've submitted my bid to buy shares of google inc. in the computer search company's giant auction-style initial public offering. that could turn out to be the good news or the bad news .  	 2
massachusetts bargain hunters showed up in droves and shopped hard on yesterday's sales tax holiday, buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with bringing them into the stores .  	 2
e-mail is a victim of its own success. that's the conclusion of ibm corp. researchers in cambridge, who have spent nearly a decade conducting field tests at ibm and other companies about how employees work and use electronic mail. it's clear to them that e-mail has become the internet's killer application .  	 2
even a genius can mess up. bill gates was a brilliant technologist when he cofounded microsoft , but as he guided it to greatness in both size and historical consequence, he blundered. he terrorized underlings with his temper and parceled out praise like scrooge gave to charity. only the lash inspired the necessary aggressiveness to beat the competition, he thought .  	 2
target the abusers of legal weapons we can all share the outrage, expressed by columnist steve bailey (''summer sizzler, quot; aug. 11), at the killings in the city's poor neighborhoods. but there's no need to share his ignorance. he argues for renewal of the so-called assault weapon ban, claiming that otherwise, ''uzis and ak-47s could again be flooding the streets. quot; his .. .  	 2
president bush has been saying that the us economy has ''turned the corner. quot; democratic presidential candidate senator john f. kerry, in the wake of this month's poor jobs report, quipped that it was more like a u-turn .  	 2
a marlborough-based technology company is suing five former employees, including three senior managers, for allegedly conspiring against their employer while working on opening a competing business .  	 2
central square in lynn should be looking a bit brighter. new sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the gateway artisan block, a key area of the square, with \$830,000 in state grant money given to lynn last week .  	 2
central square in lynn should be looking a bit brighter. new sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the gateway artisan block, a key area of the square, with \$830,000 in state grant money given to lynn last week .  	 2
a lawsuit against gary winnick, the former chief of global crossing, refocuses attention on what mr. winnick knew about his company's finances as it imploded .  	 2
russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil .  	 2
kevin b. rollins, the new chief executive of dell, talks about dell's transitory slip in customer service, and why he sees a broader technology recovery taking place .  	 2
with the country in need of cash and rich people dying to show off their wealth, mr. stein proposes a unique solution: having the government sell titles of nobility .  	 2
quality distribution is hammered after reporting a large loss for the second quarter .  	 2
if hurricane charley blows your house down, how can you make your insurance company pay?  	 2
the company's results show that it's not grim all over tech world. just all of it that isn't dell .  	 2
after a tough year, detroit's troubled carmaker is back -- thanks to a maverick designer and a car that is dazzling the hip-hop crowd  	 2
americans are spending more on tricking out the places where they swim. here's a look at the new wave of accessories  	 2
in 1993 six geeks had a digital nightmare that changed the culture. it's about to get far creepier  	 2
celebrity fashion is booming. these webpreneurs are bringing it to main street  	 2
no other recording artist can channel american middle-class tastes quite like chip davis and his best-selling band  	 2
got a unique problem? not to worry: you can find a financial planner for every specialized need  	 2
today's customers are increasingly demanding, in asia as elsewhere in the world.  henry astorga describes the complex reality faced by today's marketers, which includes much higher expectations than we have been used to.  today's customers want performance, and they want it now!  	 2
well, it's election time in the republic of the philippines, and that means the monkeys are rolling around in those political barrels, having as much fun as they can while laughing their heads off at the strange goings-on that characterize a democratic process loosely based on the american model  but that de facto looks more like a fellini movie crossed with a tom and jerry cartoon - column includes a useful election-year glossary!  	 2
why general motors dropped the oldsmobile. the four brand  paradoxes gm had to face - the name, the product, image re-positioning, and the consumer - all added up to a brand that had little hope of rebranding .  	 2
although a smattering of chinese, filipinos, japanese, indians, thais, and others may crow about seeing their kind sitting in prominent positions in corporations and organizations in the usa, these accomplishments become mere cultural high-fives and ritualistic chest-thumping goaded and impishly patronized by 'mainstream society' - the milder and gentler term for the white-dominated populace .  	 2
the blues is alive and well in the philippines, as evidenced by this appreciation of the pinoy blues band 'lampano alley', penned by columnist clarence henderson as a counterpoint to his usual economics, business, and culture fare .  	 2
globalization does strange things to people. a day in the life of a manila philippines based business consultant - proving that you really can talk about muddy walters, bluegrass and work all on the same page.. .  	 2
the new apmf survey of the best asian tourism destinations has just kicked off, but it's crowded at the top, with chiang mai in thailand just leading from perennial favourites hong kong, bangkok and phuket in thailand, and bali in  indonesia. be one of the first to vote and let us know your reasons .  	 2
one of our new categories in the apmf sense of place survey is for best asian business city. after a couple of days, singapore leads the pack, followed by bangkok, thailand and hong kong. enter your vote and comments and make your views count. more new categories include best city for livability, and best tourism destinations .  	 2
i grew up in new york, where giant alligators -- sometimes more ornately described as albino alligators -- were rumored to roam the citys sewer systems. according to legend, vacationers picked up the tiny crocodilians in florida, brought them home to new york, and eventually flushed the little buggers when they grew too big for the local concrete jungle .  	 2
do most it projects fail? some point to the number of giant consultancies such as ibm global services, capgemini, and sapient, who feed off bad experiences encountered by enterprises. sapient is a company founded on the realization that it projects are not successful, says sapient cto ben gaucherin .  	 2
bea systems inc. has hired the computer associates international inc. executive responsible for ca's unicenter line of enterprise management software to head bea's product development group .  	 2
autodesk  this week unwrapped an updated version of its hosted project collaboration service targeted at the construction and manufacturing industries. autodesk buzzsaw lets multiple, dispersed project participants -- including building owners, developers, architects, construction teams, and facility managers -- share and manage data throughout the life of a project, according to autodesk officials .  	 2
london -- the u.k.'s national health service (nhs) has tapped it researcher gartner inc. to provide market intelligence services as the health organization forges ahead with a mammoth, 5 billion (\$9.2 billion) project to upgrade its information technology infrastructure .  	 2
even though google's two founders gave an interview to playboy magazine in the midst of its ipo filing, the sec allowed the company's offering to go ahead. the boys filed the interview with the sec and corrected mistakes in it .  	 2
an interview with google's co-founders due out in the current issue of playboy may delay the company's ipo. securities regulations restrict what executives can say while preparing to sell stock for the first time .  	 2
a music retailer from the netherlands beats apple by launching a download service in europe's latest market battleground. also: movie industry wrests agreement from defunct company.... microsoft challenges photoshop   hellip;. and more .  	 2
hewlett-packard will pay \$297 million for the british company. also: tivo goes all out to attract customers   hellip;. sprint offers service guarantees for business wireless subscribers   hellip;. and more .  	 2
verizon plans to offer a service that would act as a virtual switchboard operator, letting customers stay in touch at all times. the program would send phone calls, voicemails and e-mails wherever customers designate. by elisa batista .  	 2
a new internet advertising forecast shows a slowdown in paid search listings in the next five years. will the projection affect google's prospects when it goes public?  	 2
blogs are the hottest thing on the net, but are they messing with traditional publishing principles? one of the most popular, fark.com, is allegedly selling links. is it the wave of the future? by daniel terdiman .  	 2
reuters - was absenteeism a little high\on tuesday among the guys at the office? ea sports would like\to think it was because "madden nfl 2005" came out that day,\and some fans of the football simulation are rabid enough to\take a sick day to play it .  	 3
reuters - a group of technology companies\including texas instruments inc. (txn.n), stmicroelectronics\(stm.pa) and broadcom corp. (brcm.o), on thursday said they\will propose a new wireless networking standard up to 10 times\the speed of the current generation .  	 3
reuters - america online on thursday said it\plans to sell a low-priced pc targeting low-income and minority\households who agree to sign up for a year of dialup internet\service .  	 3
reuters - a group of consumer electronics\makers said on wednesday they approved the format for a new\generation of discs that can store five times the data of dvds\at the same cost -- enough to put a full season of "the\sopranos" on one disc .  	 3
reuters - the mystery of what went wrong for the\software industry in late june when sales stalled at more than\20 brand-name companies is not even close to being solved\although the third quarter is nearly halfway over .  	 3
ap - the norwegian hacker famed for developing dvd encryption-cracking software has apparently struck again  #151; this time breaking the locks on apple computer inc.'s wireless music streaming technology .  	 3
reuters - the ability to download complete\tracks directly over cell-phone networks to mobile phones is\becoming a reality in europe .  	 3
techweb - news - august 13, 2004  	 3
reuters - oracle corp. sales documents\detailing highly confidential information, such as which\companies receive discounts on oracle's business software\products and the size of the discounts, are likely to be made\public, a federal judge said on friday .  	 3
pc world - developers get early code for new operating system 'skin' still being crafted .  	 3
maccentral - apple computer inc. will open its second japanese retail store later this month in the western japanese city of osaka, it said thursday .  	 3
ap - hurricane charley's 145-mph force took forecasters by surprise and showed just how shaky a science it still is to predict a storm's intensity  #151; even with all the latest satellite and radar technology .  	 3
ap - with more than 4,000 scientists, including 48 nobel prize winners, having signed a statement opposing the bush administration's use of scientific advice, this election year is seeing a new development in the uneasy relationship between science and politics .  	 3
ap - a former dormitory converted to classrooms at the pensacola naval air station was dedicated friday to two columbia astronauts who were among the seven who died in the shuttle disaster feb. 1, 2003 .  	 3
ap - a russian cargo ship docked with the international space station saturday, bringing food, water, fuel and other items to the two-man russian-american crew, a space official said .  	 3
ap - along the banks of the canal, women in rowboats grill fish and sell fresh bananas. families eat on floating pavilions, rocked gently by waves from passing boats .  	 3
reuters - tyrannosaurus rex grew incredibly fast\during a teenaged growth spurt that saw the dinosaur expand its\bulk by six times, but the fearsome beasts "lived fast and died\young," researchers said on wednesday .  	 3
reuters - procrastinating monkeys were turned\into workaholics using a gene treatment to block a key brain\compound, u.s. researchers reported on wednesday .  	 3
reuters - some people are born to be the life and\soul of the party -- and so it seems are some dolphins .  	 3
reuters - as shakespeare said, a rose by any other\name would smell as sweet. right?  	 3
reuters - british scientists said on wednesday\they had received permission to clone human embryos for medical\research, in what they believe to be the first such license to\be granted in europe .  	 3
space.com - an expedition of russian researchers claims to have found evidence that an \  alien spaceship had something to do with a huge explosion over siberia in 1908. \  experts in asteroids and comets have long said the massive blast was caused \  by a space rock .  	 3
space.com - a nearby star thought to harbor comets and asteroids now appears to be home to planets, too. the presumed worlds are smaller than jupiter and could be as tiny as pluto, new observations suggest .  	 3
space.com - a fine display of shooting stars is underway and peaks overnight wednesday into early thursday morning. astronomers expect the 2004 perseid meteor shower to be one of the best versions of the annual event in several years .  	 3
space.com - while the exploration of the moon and other planets in our solar system is nbsp;exciting, the first task for astronauts and robots alike is to actually nbsp;get to those destinations .  	 3
ap - rats can become drug addicts. that's important to know, scientists say, and has taken a long time to prove. now two studies by french and british researchers show the animals exhibit the same compulsive drive for cocaine as people do once they're truly hooked .  	 3
space.com - amid uncertainty over the fate of the hubble space telescope and with a key instrument not working, nasa administrator sean o'keefe gave the go-ahead monday for planning a robotic servicing mission .  	 3
space.com - armadillo aerospace of mesquite, texas has reported a \crash last weekend of their prototype x prize rocket .  	 3
ap - the black-tailed prairie dog has been dropped from a list of candidates for the federal endangered species list because scientists have concluded the rodents are no longer threatened .  	 3
space.com - one of the four astronomical instruments on the hubble space telescope shut down earlier this week and engineers are trying to pin down the problem. the other three instruments continue to operate normally .  	 3
ap - they burned it, mowed it, sprayed it and flooded it. but nothing killed the purple loosestrife weed, which has become a regional plague, until officials at the parker river national wildlife refuge set a european beetle loose on it .  	 3
space.com - nasa researchers have teamed up with a pair of silicon valley firms to build \  a supercomputer that ranks alongside the world's largest linux-based systems .  	 3
ap - normally clannish and agressive argentine ants have become so laid back since arriving in australia decades ago that they no longer fight neighboring nests and have formed a supercolony here that spans 60 miles, scientists say .  	 3
space.com - every august, when many \  people are vacationing in the country where skies are dark, the best-known meteor \  shower makes its appearance. the annual perseid meteor shower, as it is called, \  promised to put on an above average display this year .  	 3
ap - rescuers succeeded in freeing a minke whale that washed up on a beach in southeastern brazil, the fire department said thursday .  	 3
ap - a red-footed falcon spotted for the first time in north america is enticing birdwatchers to martha's vineyard .  	 3
space.com - gamma-ray bursts are the most powerful events in the universe, temporary outshining several galaxies and likely signaling the birth of a black hole .  	 3
ap - the prospect that a tropical storm and a hurricane  #151; or possibly two hurricanes  #151; could strike florida on the same day is something meteorologists say they have never seen .  	 3
ap - nasa's genesis spacecraft successfully adjusted its course this week as it heads back toward earth with a sample of solar wind particles, the space agency said wednesday .  	 3
space.com - flip a coin. heads, earth is a common sort of planet. tails, and ours is as unusual as a coin landing on edge. that's about the state of knowledge for scientists who ponder the question of our planet's rarity .  	 3
ap - his hand on a toggle switch and his eyes on a computer screen, oregon state university graduate student anthony kirincich uses an array of scientific instruments to probe the vibrant waters of the pacific. he is searching for the absence of life .  	 3
space.com - denver, colorado -- those twin robots hard at work on mars have transmitted teasing views that reinforce the prospect that microbial life may exist on the red planet .  	 3
ap - india is rethinking its plan to send a man to the moon by 2015, as the mission would cost a lot of money and yield very little in return, the national space agency said thursday .  	 3
space.com - when venus crossed the sun june 8, showing up as a clear black dot to the delight of millions of skywatchers around the world, astronomers noted something less obvious: the amount of sunlight reaching earth dipped by 0.1 percent for a few hours .  	 3
space.com - for those who want to explore mars but cant wait for a spacecraft to take them there, nasa scientists have reformulated a website that lets the general public search data and images from previous missions .  	 3
ap - the u.s. forest service on wednesday rejected environmentalists' appeal of a plan to poison a stream south of lake tahoe to aid what wildlife officials call "the rarest trout in america."  	 3
space.com - one of the pleasures of \  stargazing is noticing and enjoying the various colors that stars display in \  dark skies. these hues offer direct visual evidence of how stellar temperatures \  vary .  	 3
ap - britain granted its first license for human cloning wednesday, joining south korea on the leading edge of stem cell research, which is restricted by the bush administration and which many scientists believe may lead to new treatments for a range of diseases .  	 3
space.com - a piloted rocket ship race to claim a  #36;10 million ansari x prize purse for privately financed flight to the edge of space is heating up .  	 3
ap - here's a dinosaur finding that parents can appreciate: the teenage tyrannosaurus rex typically went through an explosive growth spurt, gaining nearly 5 pounds a day .  	 3
space.com - a leading space scientist has called to question the validity of human spaceflight, suggesting that sending astronauts outward from earth is outdated, too costly, and the science returned is trivial .  	 3
ap - chinese astronauts are in the final stages of preparing for a manned space mission that will orbit the globe 14 times before returning to earth, a state-run newspaper reported thursday .  	 3
space.com - a sunspot group aimed squarely \  at earth has grown to 20 times the size of our planet and has the potential \  to unleash a major solar storm .  	 3
ap - a lunar orbiter that japan had planned to launch this year could face further delays, possibly until next year or later, because of a funding shortfall and problems developing the probe's information-gathering capabilities, japan's space agency said wednesday .  	 3
ap - scientists looking into air quality and climate change have found pollutants from as far as asia over new england and the atlantic .  	 3
ap - experts from europe and asia surveyed 1,400-year-old relics of an ancient citadel in hanoi tuesday and said they were concerned the priceless antiquities were at risk from exposure to the elements .  	 3
ap - in a victory for environmentalists, a federal judge ruled tuesday that the bush administration cannot change the standards commercial fisheries must meet before the tuna they catch can carry the "dolphin-safe" label .  	 3
ap - nasa said tuesday it is moving ahead with plans to send a robot to the rescue of the aging hubble space telescope .  	 3
ap - cave explorers discovered a pit inside a mountain range in central croatia believed to have the world's deepest subterranean vertical drop, at nearly 1,700 feet, a scientific institute reported monday .  	 3
ap - the chief scientist at the national aquarium in baltimore has launched a review of the dolphin breeding program after the death of a 4-month-old dolphin .  	 3
ap - meteorologists at north carolina state university are working on a way to more accurately measure rainfall in small areas .  	 3
ap - a team taking a low-budget stab at the  #36;10 million ansari x prize for private manned spaceflight suffered a setback sunday, when their rocket malfunctioned and exploded after shooting less than 1,000 feet in the air .  	 3
ap - pressured by a ranking senator from nevada and the environmental protection agency, gov. kenny guinn says he might reconsider his opposition to a federal superfund cleanup declaration for a huge abandoned mine contaminated with toxic waste and uranium .  	 3
ap - authorities once had no choice but to drop rape cases if they weren't able to catch a suspect before the statute of limitations expired. but prosecutors across the country increasingly are buying themselves time, keeping cold cases alive by indicting unidentified rapists using their dna profiles .  	 3
ap - about half the usual number of loggerhead turtles have nested between north carolina and florida this season, and scientists have no explanation for the drop .  	 3
ap - a company that unveiled the world's first cloned cat nearly three years ago now says it is ready to start filling orders for cloned pets, a newspaper reported thursday .  	 3
ap - a new deep-sea research vessel will be able to carry people to 99 percent of the ocean floor, diving deeper than the famed alvin that pioneered the study of seafloor vents, plate tectonics and deep ocean creatures over the past 40 years .  	 3
ap - the southern chorus frog has been found in southeastern virginia, far outside its previously known range. the animal had never before been reported north of beaufort county, n.c., about 125 miles to the south .  	 3
ap - scientists will use advanced technology never before deployed beneath the sea as they try to discover new creatures, behaviors and phenomena in a 10-day expedition to the gulf of mexico's deepest reaches .  	 3
ap - the forest service exaggerated the effect of wildfires on california spotted owls in justifying a planned increase in logging in the sierra nevada, according to a longtime agency expert who worked on the plan .  	 3
ap - swedish geologists may have found a way to predict earthquakes weeks before they happen by monitoring the amount of metals like zinc and copper in subsoil water near earthquake sites, scientists said wednesday .  	 3
ap - norwegian scientists who explored the deep waters of the atlantic ocean said thursday their findings  #151; including what appear to be new species of fish and squid  #151; could be used to protect marine ecosystems worldwide .  	 3
ap - the number of days that beaches closed or posted warnings because of pollution rose sharply in 2003 due to more rainfall, increased monitoring and tougher standards, an environmental group said on thursday .  	 3
ap - warming water temperatures in the central equatorial pacific last month may indicate the start of a new el nino .  	 3
ap - the cassini spacecraft's mission to saturn has revealed a new radiation belt around the ringed planet and found that lightning in its atmosphere is occurring in different patterns than it did when nasa's voyagers flew by in the early 1980s, scientists said .  	 3
ap - gangs of poachers in congo have been slaughtering the world's minuscule population of northern white rhinos, reducing the population by about one-half in just more than a year, a key conservation organization said friday .  	 3
ap - three shark attacks off the texas coast in the past two months are unusual but don't mean there are more sharks than normal along the beach or that they are getting bolder, marine biologists and other experts say .  	 3
ap - it's a lesson many little humans could learn from baby birds: sometimes, being nice to other youngsters pays off. brown-headed cowbirds, like several other bird species, leave their eggs in the nests of other birds, who then feed and raise the cowbird chicks .  	 3
ap - the  #36;10 million competition to send a private manned rocket into space started looking more like a race thursday, when a canadian team announced plans to launch its rocket three days after an american group intends to begin qualifying for the ansari x prize .  	 3
ap - the university of texas and texas a amp;m university are planning to construct what they call the world's largest telescope with the help of a houston businessman's  #36;1.25 million gift .  	 3
ap - residents burned tires and trash in the streets thursday trying to drive off swarms of locusts descending on the region in what a u.n. agency called the worst sub-saharan invasion in more than a decade .  	 3
a security advisory posted on bugtraq demonstrates how hackers can compromise customers of t-mobile wireless and verizon (landline) voicemail boxes. the advisory talks about the use of caller-id spoofing the customers number, allowing a bypass of the pin code since the voicemail thinks that the customer is calling to check their own voicemail. according to secure science corporation, there has been no response from the vendors. comments have been posted that t-mobile has optional pin code protection off by default. better turn it on .  	 3
it's ironic that microsoft could help further cement its dominance in the browser market by joining its largest rival in an effort to support web standards.  nbsp;at the same time, that act would go a long way towards improving the web in general for developers and users alike .  	 3
the register ran a story on august 6th called 'phone spam misery looms stateside.' it seems that there's legislative nastiness underway in washington, dc to essentially gut the existing junk fax law, and replace it with a marketer's wet dream .  	 3
liberal bias versus right-wing conspiracy is a wonderful distraction. there is evidence enough on both sides. how can opposite claims be true? confront a physicist with evidence supporting contradictory hypotheses and she will go looking for a more basic cause. let's try that .  	 3
a month ago i was introduced to the works of michel gondry.  in short, i was amazed and tantalized by his short films and music videos.  even if you haven't heard of him, you've probably seen his many works in gap commercials, various music videos, and the recent movie eternal sunshine of the spotless mind.    many of his works explode with visual elements that, when taken alone, are simple and mundane.  however, under his masterful guidance, these elements come together to form a highly mesmerizing visual experience.  he never ceases to push visual technologies and challenge our ideas about the visual medium .  	 3
the australian defence force must defend and project across an air-sea gap. this requires long range autonomous strike weaponry. the joint strike fighter does not solve this issue and detrimentally places added pressure on australia's limited force of aerial refuelling assets. the world's defence manufacturers are not creating strike platforms that solve australian needs. for this reason, australia needs to look to other nations with similar defence needs. in this case, japan, south korea and taiwan all face defending an air-sea gap. australia should enter a partnership with these nations to create a strike fighter that satisfies the strategic needs of defending an air-sea gap. the benefits of such a partnership will be many .  	 3
the new republic's website is currently carrying an interesting piece which tries to explain the anomaly that although the us economy is growing, a lot of its citizens are still feeling worse off. the article explains the results of a 40 year panel study which has shown that although mean incomes have increased, income variability has increased massively, causing many americans to feel less well off, despite the growing economy .  	 3
queue submissions being scarce, i suggest we all submit limericks for consideration.  mod up your favorites.    i'm no poet, so i'll submit a favorite of my childhood:    there was a young woman named bright,  who traveled much faster than light    she set out one day  in a relative way    and returned on the previous night.    i'm afraid i don't remember the author .  	 3
\\java developers often load system properties to customize the runtime behavior\of their applications.\\for example a develoepr could define a 'max_connections' system property to\define the maximum number of tcp connections that their application server can\support.  while nice, this prevents all other applications from using this\variable name.\\the first reaction to this would be to namespace your variable names.  instead\of using max_connections you would now use\'my.application.server.max_connections' as your property name.  this works of\course but now you have to load this property on startup.\\public static int max_connections = integer.parseint( system.getproperty(\"my.application.se ...\\  	 3
\\i just wanted to say thanks to ibm for open sourcing  cloudscape .\\you guys really have your act together.  keep up the good work!\\  	 3
\\today jonathan moore  and i headed over to linuxworld after lunch to see what\kind of cool hardware and linux hacks they had on the expo floor.\\only \$15 to get in the door so i figure why not.\\i'm a bit of a privacy freak.  when you're trading some security for liberty\there are situations where it *might* be worth it.  in situations of extreme\violence having the police by your side might be a good idea.  \\i think we can all agree that trading liberty for *nothing* isn't worth it.\this country was *founded* on liberty after the british were abusing their\colonial powers.  every true american should cherish their liberty and think\long and hard about just turning them over for no reason.\ ...\\  	 3
\\i'm starting to realize that my blog is a bit of a time machine.  for example i\can create a blog entry to warn myself about something that will happen in the\future.  \\my current ntp  blog entry is a good example.  i wrote this for myself as\much as for the people who read my blog (or find me via google).\\i know for sure that ntp on debian is going to bite me sometime in the future\and i'm going to forget why.  then i'm going to (of course) go to google or my\aggregator and search for ntp and then find my blog post.  \\i've done this about a dozen times now and its saved me a ton of time!\\  	 3
\\the network time daemon (ntp  daemon) implementation within debian leaves a\lot to be desired.\\first off they don't include it with a working config.  you have to create your\own /etc/ntpd.conf.  to make matters worse the configuration doesn't accept dns\names so you have to manually enter ips.  fun.  i can understand that they might\not want to provide one configuration and overwhelm one or two ntp servers but\they can provide a dynamic config that balances load among all available\servers.  there is of course the public serves list  but you have to google\for it.\\all you really need to do here is enter a list of servers:\\server time.nist.gov\\server 192.43.244.18\  	 3
\\i've been a big fan of log4j  for a while now but haven't migrated any code\over for one central reason.  the following line of code:\\    final static logger logger = logger.getlogger( "some.name" );\\... is amazingly ugly and difficult to work with.\\most people use log4j with a logger based on the classname:\\so we would probably see:\\    static logger logger = logger.getlogger( "org.apache.commons.feedparser.locate.feedlocator" );\\which is amazingly verbose.  a lot of developers shorten this to:\\    static logger logger = logger.getlogger( feedlocator.class );\\but this still leaves us with cut and paste errors.\\what if we could just reduce it to:\\    static logger logger = logger.g ...\\  	 3
\\"(cnn) -- a longtime associate of al qaeda leader osama bin laden surrendered to\saudi arabian officials tuesday, a saudi interior ministry official said."\\"but it is unclear what role, if any, khaled al-harbi may have had in any terror\attacks because no public charges have been filed against him."\\"the saudi government -- in a statement released by its embassy in washington --\called al-harbi's surrender "the latest direct result" of its limited, one-month\offer of leniency to terror suspects."\\this is great!  i hope this really starts to pay off.  creative solutions to\terrorism that don't involve violence.  \\how refreshing! \\are you paying attention bush administration?\\  	 3
\\for some reason i never released this code.\\i developed it while working on newsmonster and just forgot i think\\it's an extension for mozilla that allows you to see all runtime exceptions\(with full stack traces) that are unhandled by mozilla. \\just install it and if your code generates an unhandled exception it will show\up in the logs and on the console.\\very handy for doing any hardcore mozilla development.\\  	 3
\\"now that the country is awash in reagan nostalgia, some observers are predicting\that you will enter politics. would you like to be president of the united\states?"\\"i would be unelectable. i'm an atheist. as we all know, that is something\people won't accept."\\"what would you do if senator kerry asked you to be his vice president?"\\"i would question his sanity."\\"do you ever go to church?"\\"no. i visit my wife's sangha."\\"so you sometimes practice buddhism?"\\"i don't claim anything. but my sympathies would be in that direction. i admire\the fact that the central core of buddhist teaching involves mindfulness and\loving kindness and compassion."\\so lets get this straight.  he's an a ...\\  	 3
\\"riyadh, saudi arabia (cnn) -- one of saudi arabia's most wanted militants has\turned himself into the authorities, the first senior suspect to surrender under\a one-month government amnesty announced last week."\\"othman al-omari, number 19 on saudi arabia's most wanted list of 26, accepted\king fahd's offer of amnesty, which was made last week, according to saudi\sources monday."\\"al-omari, who turned himself in on sunday night, was a business partner of\shaban al shihri -- the first al qaeda member to accept the offer when he turned\himself in friday."\\when i first saw this i was really upset.  i thought that it would certainly\lead to more violence if they just let terrorists off the ...\\  	 3
\\"baghdad, iraq (cnn) -- members of iraq's interim government took an oath of\office monday just hours after the united states returned the nation's\sovereignty, two days ahead of schedule."\\"led by iraq's interim prime minister ayad allawi, each member of the new\government placed a hand on the koran and promised to serve with sincerity and\impartiality. iraqi flags lined the wall behind them."\\iraq!  now with 100 less coalition provisional authority!  act now and get a\free weapon of mass destruction (offer only available in syria, jordan, saudi\arabia, pakistan, syria and iran).\\also check out our new puppet government!  keeps the kids occupied for hours!\\  	 3
